comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha
stable,1,1e-5,0,0,3.29
stable,1,1e-5,0,0.05,0
stable,1,1e-5,0,0.1,0
stable,1,1e-5,0.041666666666666664,0,3.2
stable,1,1e-5,0.041666666666666664,0.05,0
stable,1,1e-5,0.041666666666666664,0.1,0
stable,1,1e-5,0.08333333333333333,0,3.22
stable,1,1e-5,0.08333333333333333,0.05,0
stable,1,1e-5,0.08333333333333333,0.1,0
stable,1,1e-5,0.125,0,3.12
stable,1,1e-5,0.125,0.05,0
stable,1,1e-5,0.125,0.1,0
stable,1,1e-5,0.16666666666666666,0,3.19
stable,1,1e-5,0.16666666666666666,0.05,0
stable,1,1e-5,0.16666666666666666,0.1,0
stable,1,1e-5,0.20833333333333331,0,3.23
stable,1,1e-5,0.20833333333333331,0.05,0
stable,1,1e-5,0.20833333333333331,0.1,0
stable,1,1e-5,0.25,0,3.1
stable,1,1e-5,0.25,0.05,0
stable,1,1e-5,0.25,0.1,0
stable,1,1e-5,0.29166666666666663,0,3.15
stable,1,1e-5,0.29166666666666663,0.05,0
stable,1,1e-5,0.29166666666666663,0.1,0
stable,1,1e-5,0.3333333333333333,0,3.07
stable,1,1e-5,0.3333333333333333,0.05,0
stable,1,1e-5,0.3333333333333333,0.1,0
stable,1,1e-5,0.375,0,3.02
stable,1,1e-5,0.375,0.05,0
stable,1,1e-5,0.375,0.1,0
stable,1,1e-5,0.41666666666666663,0,3.07
stable,1,1e-5,0.41666666666666663,0.05,0
stable,1,1e-5,0.41666666666666663,0.1,0
stable,1,1e-5,0.4583333333333333,0,3.03
stable,1,1e-5,0.4583333333333333,0.05,0
stable,1,1e-5,0.4583333333333333,0.1,0
stable,1,1e-5,0.5,0,3.15
stable,1,1e-5,0.5,0.05,0
stable,1,1e-5,0.5,0.1,0
stable,1,1e-5,0.5416666666666666,0,3.15
stable,1,1e-5,0.5416666666666666,0.05,0
stable,1,1e-5,0.5416666666666666,0.1,0
stable,1,1e-5,0.5833333333333333,0,3.07
stable,1,1e-5,0.5833333333333333,0.05,0
stable,1,1e-5,0.5833333333333333,0.1,0
stable,1,1e-5,0.625,0,2.97
stable,1,1e-5,0.625,0.05,0
stable,1,1e-5,0.625,0.1,0
stable,1,1e-5,0.6666666666666666,0,3.08
