comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
stable,1,1e-5,0,0,2.53,28,11.067193675889328
stable,1,1e-5,0,0.025,0,0,0
stable,1,1e-5,0,0.05,0,0,0
stable,1,1e-5,0,0.07500000000000001,0,0,0
stable,1,1e-5,0,0.1,0,0,0
stable,1,1e-5,0.041666666666666664,0,2.45,27,11.020408163265305
stable,1,1e-5,0.041666666666666664,0.025,0,0,0
stable,1,1e-5,0.041666666666666664,0.05,0,0,0
stable,1,1e-5,0.041666666666666664,0.07500000000000001,0,0,0
stable,1,1e-5,0.041666666666666664,0.1,0,0,0
stable,1,1e-5,0.08333333333333333,0,2.48,31,12.5
stable,1,1e-5,0.08333333333333333,0.025,0,0,0
stable,1,1e-5,0.08333333333333333,0.05,0,0,0
stable,1,1e-5,0.08333333333333333,0.07500000000000001,0,0,0
stable,1,1e-5,0.08333333333333333,0.1,0,0,0
stable,1,1e-5,0.125,0,2.47,32,12.955465587044534
stable,1,1e-5,0.125,0.025,0,0,0
stable,1,1e-5,0.125,0.05,0,0,0
stable,1,1e-5,0.125,0.07500000000000001,0,0,0
stable,1,1e-5,0.125,0.1,0,0,0
stable,1,1e-5,0.16666666666666666,0,2.52,30,11.904761904761905
stable,1,1e-5,0.16666666666666666,0.025,0,0,0
stable,1,1e-5,0.16666666666666666,0.05,0,0,0
stable,1,1e-5,0.16666666666666666,0.07500000000000001,0,0,0
stable,1,1e-5,0.16666666666666666,0.1,0,0,0
stable,1,1e-5,0.20833333333333331,0,2.43,26,10.699588477366255
stable,1,1e-5,0.20833333333333331,0.025,0,0,0
stable,1,1e-5,0.20833333333333331,0.05,0,0,0
stable,1,1e-5,0.20833333333333331,0.07500000000000001,0,0,0
stable,1,1e-5,0.20833333333333331,0.1,0,0,0
stable,1,1e-5,0.25,0,2.38,30,12.605042016806724
stable,1,1e-5,0.25,0.025,0,0,0
stable,1,1e-5,0.25,0.05,0,0,0
stable,1,1e-5,0.25,0.07500000000000001,0,0,0
stable,1,1e-5,0.25,0.1,0,0,0
stable,1,1e-5,0.29166666666666663,0,2.37,32,13.502109704641349
stable,1,1e-5,0.29166666666666663,0.025,0,0,0
stable,1,1e-5,0.29166666666666663,0.05,0,0,0
stable,1,1e-5,0.29166666666666663,0.07500000000000001,0,0,0
stable,1,1e-5,0.29166666666666663,0.1,0,0,0
stable,1,1e-5,0.3333333333333333,0,2.42,27,11.15702479338843
stable,1,1e-5,0.3333333333333333,0.025,0,0,0
stable,1,1e-5,0.3333333333333333,0.05,0,0,0
stable,1,1e-5,0.3333333333333333,0.07500000000000001,0,0,0
stable,1,1e-5,0.3333333333333333,0.1,0,0,0
stable,1,1e-5,0.375,0,2.36,35,14.830508474576272
stable,1,1e-5,0.375,0.025,0,0,0
stable,1,1e-5,0.375,0.05,0,0,0
stable,1,1e-5,0.375,0.07500000000000001,0,0,0
